                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.91207,                0.49895,                 1.0401,                0.89581,                0.88775,                0.93114,                 0.6026,                 1.0727,                0.55821,                 1.1834,              0.0012049,              0.0012049,              0.0012049
                     86,                0.86811,                0.47061,                 1.0182,                0.91278,                0.86895,                0.92867,                0.59788,                  1.111,                0.56569,                 1.2175,              0.0011994,              0.0011994,              0.0011994
                     87,                0.89115,                 0.4874,                 1.0328,                0.90482,                0.85412,                0.92116,                0.58555,                 1.1305,                0.58038,                 1.2341,              0.0011939,              0.0011939,              0.0011939
                     88,                0.85542,                0.46729,                 1.0317,                0.90723,                0.87524,                0.93229,                0.60015,                 1.2028,                0.55635,                 1.2648,              0.0011884,              0.0011884,              0.0011884
                     89,                 0.8738,                0.48818,                  1.043,                0.93018,                0.88173,                0.93629,                0.60916,                 1.1789,                0.56701,                 1.2309,              0.0011829,              0.0011829,              0.0011829
                     90,                0.86323,                0.47415,                 1.0256,                0.90466,                0.88188,                0.93253,                0.60875,                 1.0986,                0.56138,                 1.1971,              0.0011774,              0.0011774,              0.0011774
                     91,                0.83556,                0.46479,                 1.0088,                0.95292,                0.86799,                0.93688,                0.60852,                 1.1084,                0.54336,                  1.205,              0.0011719,              0.0011719,              0.0011719
                     92,                0.83373,                0.46752,                  1.023,                0.94297,                0.85649,                0.93305,                0.60106,                 1.0903,                0.57463,                 1.2039,              0.0011664,              0.0011664,              0.0011664
                     93,                0.84788,                0.47366,                  1.028,                0.89603,                0.87562,                0.92376,                0.58633,                 1.1249,                0.63185,                 1.2306,              0.0011609,              0.0011609,              0.0011609
                     94,                0.87487,                0.47464,                 1.0209,                0.90767,                0.87132,                 0.9301,                0.58991,                  1.177,                0.57807,                 1.2568,              0.0011554,              0.0011554,              0.0011554
